flight_date,flight_status,departure_airport,departure_timezone,departure_estimated,arrival_airport,arrival_timezone,airline_name
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T13:40:00+00:00,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,Firefly
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T13:50:00+00:00,Tan Son Nhat International,Asia/Ho_Chi_Minh,Air New Zealand
2024-03-30,active,Singapore Changi,Asia/Singapore,2024-03-30T13:45:00+00:00,Mingaladon,Asia/Rangoon,Sky Angkor
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T13:50:00+00:00,Tan Son Nhat International,Asia/Ho_Chi_Minh,Vistara
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T13:50:00+00:00,Tan Son Nhat International,Asia/Ho_Chi_Minh,Virgin Australia
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T16:45:00+00:00,Hong Kong International,Asia/Hong_Kong,Gulf Air
2024-03-30,active,Singapore Changi,Asia/Singapore,2024-03-30T16:55:00+00:00,Beijing Capital International,Asia/Shanghai,Air China LTD
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T17:10:00+00:00,Koh Samui,Asia/Bangkok,Singapore Airlines
2024-03-30,active,Singapore Changi,Asia/Singapore,2024-03-30T16:30:00+00:00,Beijing Capital International,Asia/Shanghai,Singapore Airlines
2024-03-30,active,Singapore Changi,Asia/Singapore,2024-03-30T16:25:00+00:00,Indira Gandhi International,Asia/Kolkata,Air New Zealand
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T06:50:00+00:00,Ngurah Rai International,Asia/Makassar,Asiana Airlines
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T06:50:00+00:00,Soekarno-Hatta International,Asia/Jakarta,Garuda Indonesia
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T06:50:00+00:00,Soekarno-Hatta International,Asia/Jakarta,Lufthansa
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T06:50:00+00:00,Soekarno-Hatta International,Asia/Jakarta,Virgin Australia
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T06:55:00+00:00,Suvarnabhumi International,Asia/Bangkok,Singapore Airlines
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T06:55:00+00:00,Phuket International,Asia/Bangkok,Air New Zealand
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T15:40:00+00:00,Penang International,Asia/Kuala_Lumpur,Singapore Airlines
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T15:40:00+00:00,Hangzhou,Asia/Shanghai,Xiamen Airlines
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T12:30:00+00:00,Soekarno-Hatta International,Asia/Jakarta,United Airlines
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T12:30:00+00:00,Soekarno-Hatta International,Asia/Jakarta,SAS
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T12:30:00+00:00,Soekarno-Hatta International,Asia/Jakarta,Garuda Indonesia
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T12:25:00+00:00,Suvarnabhumi International,Asia/Bangkok,Bangkok Airways
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T12:10:00+00:00,Ninoy Aquino International,Asia/Manila,Philippine Airlines
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T12:10:00+00:00,Ninoy Aquino International,Asia/Manila,Air New Zealand
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T11:45:00+00:00,Soekarno-Hatta International,Asia/Jakarta,Xiamen Airlines
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T11:45:00+00:00,Soekarno-Hatta International,Asia/Jakarta,Vietnam Airlines
